DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
Higher Education Institutions,高等教育院校,Hong Kong Baptist University - College of International Education (Shek Mun Campus),"8 On Muk Street, Shek Mun, Shatin",香港浸會大學國際學院 (石門(沙田)校園),新界沙田石門安睦街八號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827618.7,839709.1,22.38780039,114.2102899,2023-07-24 12:33:56,839709.0999999996,827618.6999999993
Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University,"30 Good Shepherd Street, Ho Man Tin, Kowloon, HK",香港都會大學,香港九龍何文田牧愛街三十號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819710.1003110399,836614.86348293,22.31630227,114.18027137,2023-07-24 12:31:00,836614.8635,819710.1002999991
Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - The Jockey Club Institute of Healthcare,"1 Sheung Shing Street, Ho Man Tin, Kowloon",香港都會大學 - 賽馬會健康護理學院,九龍何文田常盛街1號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819818.18704631,836568.88183307,22.31736055,114.17979466,2023-07-24 12:30:38,836568.8817999996,819818.1870000008
Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Mong Kok East Campus),"14 Princess Margaret Road, Homantin, Kowloon",香港專業進修學校 (旺角東校園),九龍何文田公主道14號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820064.35029299,836481.72059992,22.31957137,114.17899997,2023-07-24 12:28:32,836481.7205999997,820064.3502999991
Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jockey Club Ma On Shan Campus),"Yiu On Estate, 2 Hang Hong Street, Ma On Shan, Shatin, New Territories",香港專業進修學校 (賽馬會馬鞍山校園),新界沙田馬鞍山恒康街2號耀安邨‎,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,831357.8,841877.5,22.42156059,114.23135976,2023-07-24 12:27:38,841877.5,831357.8000000007
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Sheung Wan Learning Centre),"5/F, Well View Commercial Building, 10 Morrison Street, Sheung Wan",香港科技專上書院 (上環教學中心),上環摩利臣街10號宏基商業大廈5樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816353.5,833519.4,22.28607014,114.15020285,2023-07-24 12:24:35,833519.4000000004,816353.5
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Tin Shui Wai Learning Centre),"Shop Nos A118 & A119, G/F Kingswood Richly Plaza Phase I, Locwood Court Kingswood Villas, No. 1 Tin Wu Road Tin Shui Wai, Yuen Long, N.T.",香港科技專上書院 (天水圍教學中心),新界天水圍天湖路1號樂湖居嘉湖新北江商場第一期地下A118及A119號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,834801.9,818098.1,22.45257511,114.00035016,2023-07-24 12:23:57,818098.0999999996,834801.9000000004
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Kwun Tong Learning Centre),"Unit 8-10, 3/F, Prosperity Place, No. 6 Shing Yip Street, Kwun Tong, Kowloon",香港科技專上書院 (觀塘教學中心),九龍觀塘成業街6號泓富廣場3樓8-10室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819077.0325408099,841301.91740015,22.31056054,114.22562436,2023-07-24 12:23:20,841301.9173999997,819077.0325000007
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"213 Nam Cheong Street, Sham Shui Po, Kowloon",香港科技專上書院,九龍深水埗南昌街213號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821432.6,835095.4,22.33193957,114.16549213,2023-07-24 12:22:02,835095.4000000004,821432.5999999996
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Tseung Kwan O Learning Centre),"Shop G30, Ground Floor, The Metropolis, Metro City Phase 3, 8 Mau Yip Road, Tseung Kwan O, N.T.",香港科技專上書院 (將軍澳教學中心),將軍澳貿業路8號新都城三期地下G30號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820402.2,844539.4,22.32261496,114.25715813,2023-07-24 12:21:32,844539.4000000004,820402.1999999993
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Cheung Sha Wan Learning Centre),"No. 638, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon, HK",香港科技專上書院 (長沙灣教學中心),九龍長沙灣長沙灣道638號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822164.7,833761.8,22.33854944,114.15254595,2023-07-24 12:20:44,833761.7999999998,822164.6999999993
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Tsuen Wan Learning Centre),"Shop Nos UG17-UG20, UG/F., Waterside Plaza, 38 Wing Shun Street, Tsuen Wan, New Territories",香港科技專上書院 (荃灣教學中心),新界荃灣永順街38號海灣花園購物商場地下上層17-20號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,825027.4,829753.9,22.3643907,114.11362844,2023-07-24 12:20:02,829753.9000000004,825027.4000000004
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Wong Tai Sin Learning Centre),"Shop 108&109, 1/F., Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin, Kowloon",香港科技專上書院 (黃大仙教學中心),九龍黃大仙睦鄰街8號現祟山商場1樓108及109號鋪,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822383.90339031,838336.4881122099,22.34052924,114.19695407,2023-07-24 12:19:21,838336.4880999997,822383.9034000002
Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology (Tuen Mun Learning Centre),"Shop 76-80, Level 2, Sun Tuen Mun Shopping Centre, 55-65 Lung Mun Road, Tuen Mun, New Territories",香港科技專上書院 (屯門教學中心),新界屯門龍門路55-65號新屯門商場第二層76-80號舖,N.A.,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,826904.13261074,814452.1759784,22.38119276,113.96504564,2023-07-24 12:18:30,814452.176,826904.1326000001
Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Head Office)","6/F, Railway Plaza, 39 Chatham Road South, Tsim Sha Tsui",香港中文大學專業進修學院 (總辦事處),尖沙咀漆咸道南 39 號鐵路大廈 6 樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817732.0594876,836287.0456037,22.29852158,114.17705918,2023-07-24 12:14:36,836287.0455999998,817732.0594999995
Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (East Ocean Learning Centre)","Rooms 300A, 308 and Unite 01, Basement 1, East Ocean Centre, 98 Granville Road, Tsim Sha Tsui",香港中文大學專業進修學院 (東海教學中心),尖沙咀加連威老道 98 號 東海商業中心300A室、308室及地庫1樓01室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817948.6,836359.7,22.30047736,114.17776427,2023-07-24 12:12:55,836359.7000000002,817948.5999999996
Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Oriental Learning Centre)","8/F, 13/F, 14/F and 17/F, Oriental Centre, 67 Chatham Road South, Tsim Sha Tsui",香港中文大學專業進修學院 (安年教學中心),尖沙咀漆咸道南 67 號安年大廈 8樓、13 樓、14樓及17樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817909.2,836152.3,22.30012156,114.17575153,2023-07-24 12:12:09,836152.2999999998,817909.1999999993
Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Central Learning Centre)","Unit A, 1/F, Bank of America Tower, 12 Harcourt Road, Central",香港中文大學專業進修學院 (中環教學中心),中環夏愨道 12 號美國銀行中心 1 樓 A,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815776.9,834833.8,22.28086496,114.16295786,2023-07-24 12:10:41,834833.7999999998,815776.9000000004
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Island South (Pokfulam) Campus),"3 Wah Lam Path, Pokfulam, Hong Kong",香港大學附屬學院 (港島南分校),香港薄扶林華林徑3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,812612.20563757,832302.59090104,22.25228147,114.13840457,2023-07-24 12:07:30,832302.5909000002,812612.2056000009
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Admiralty Learning Centre ),"Admiralty Centre, 18 Harcourt Road, Hong Kong",香港大學附屬學院 (金鐘教學中心),香港金鐘夏慤道18號海富中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815598.6,835074.3,22.27925498,114.16529164,2023-07-24 12:05:45,835074.2999999998,815598.5999999996
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Fortress Tower Learning Centre),"Fortress Tower, 250 King's Road, North Point, Hong Kong",香港大學附屬學院 (北角城教學中心),香港北角英皇道250號北角城中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816659.9,838062.5,22.28883867,114.19428792,2023-07-24 12:05:14,838062.5,816659.9000000004
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Island East Campus),"494 King's Road, North Point, Hong Kong",香港大學附屬學院 (港島東分校),香港北角英皇道494號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816931.7,838838.4,22.29129221,114.20181758,2023-07-24 12:03:35,838838.4000000004,816931.6999999993
Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon West Campus),"NCB Innovation Centre, 888 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",香港大學附屬學院 (九龍西分校),九龍長沙灣荔枝角道888號南商金融創新中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821829.3498739999,833078.96663934,22.33551961,114.14591815,2023-07-24 12:02:11,833078.9665999999,821829.3498999998
Higher Education Institutions,高等教育院校,Tung Wah College (King’s Park Campus),"31 Wylie Road, Homantin, Kowloon, Hong Kong",東華學院 (京士柏校舍),九龍何文田衛理道31號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819301.2,836146.1,22.31269216,114.17569126,2023-07-24 11:58:24,836146.0999999996,819301.1999999993
Higher Education Institutions,高等教育院校,Tung Wah College (Mong Kok Campus),"90A & 98, Shantung Street, Mongkok, Kowloon",東華學院 (旺角校舍),九龍旺角山東街90號A及98號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819883.59841515,835875.75646236,22.31795124,114.17306729,2023-07-24 11:57:33,835875.7565000001,819883.5984000005
Higher Education Institutions,高等教育院校,Tung Wah College (Kwai Hing Campus),"Level 16, Tower B, Kowloon Commerce Centre, No. 51 Kwai Cheong Road, Kwai Chung, New Territories",東華學院 (葵興校舍),新界葵涌葵昌路51號九龍貿易中心第二座16樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824767.63391888,831725.4316209001,22.36205092,114.13277093,2023-07-24 11:56:49,831725.4315999998,824767.6338999998
